SiteName,MonitorDate,Concentration,ItemUnit
馬公,2017-08-26,16,μg/m3
金門,2017-08-26,,μg/m3
馬祖,2017-08-26,6,μg/m3
宜蘭,2017-08-26,4,μg/m3
陽明,2017-08-26,,μg/m3
花蓮,2017-08-26,5,μg/m3
臺東,2017-08-26,4,μg/m3
恆春,2017-08-26,3,μg/m3
屏東,2017-08-26,37,μg/m3
前金,2017-08-26,23,μg/m3
美濃,2017-08-26,28,μg/m3
臺南,2017-08-26,19,μg/m3
新營,2017-08-26,19,μg/m3
嘉義,2017-08-26,22,μg/m3
朴子,2017-08-26,21,μg/m3
斗六,2017-08-26,28,μg/m3
南投,2017-08-26,30,μg/m3
彰化,2017-08-26,33,μg/m3
忠明,2017-08-26,31,μg/m3
豐原,2017-08-26,25,μg/m3
三義,2017-08-26,23,μg/m3
苗栗,2017-08-26,22,μg/m3
新竹,2017-08-26,21,μg/m3
竹東,2017-08-26,24,μg/m3
平鎮,2017-08-26,12,μg/m3
桃園,2017-08-26,6,μg/m3
萬華,2017-08-26,4,μg/m3
士林,2017-08-26,3,μg/m3
板橋,2017-08-26,4,μg/m3
汐止,2017-08-26,3,μg/m3
基隆,2017-08-26,3,μg/m3
馬公,2017-08-23,8,μg/m3
金門,2017-08-23,9,μg/m3
馬祖,2017-08-23,10,μg/m3
宜蘭,2017-08-23,6,μg/m3
陽明,2017-08-23,5,μg/m3
花蓮,2017-08-23,6,μg/m3
臺東,2017-08-23,5,μg/m3
恆春,2017-08-23,4,μg/m3
屏東,2017-08-23,7,μg/m3
前金,2017-08-23,,μg/m3
美濃,2017-08-23,6,μg/m3
臺南,2017-08-23,7,μg/m3
新營,2017-08-23,8,μg/m3
嘉義,2017-08-23,,μg/m3
朴子,2017-08-23,,μg/m3
斗六,2017-08-23,,μg/m3
南投,2017-08-23,10,μg/m3
彰化,2017-08-23,13,μg/m3
忠明,2017-08-23,13,μg/m3
豐原,2017-08-23,9,μg/m3
三義,2017-08-23,8,μg/m3
苗栗,2017-08-23,10,μg/m3
新竹,2017-08-23,13,μg/m3
竹東,2017-08-23,11,μg/m3
平鎮,2017-08-23,14,μg/m3
桃園,2017-08-23,12,μg/m3
萬華,2017-08-23,8,μg/m3
士林,2017-08-23,7,μg/m3
板橋,2017-08-23,10,μg/m3
汐止,2017-08-23,8,μg/m3
基隆,2017-08-23,5,μg/m3
馬公,2017-08-20,7,μg/m3
金門,2017-08-20,24,μg/m3
馬祖,2017-08-20,14,μg/m3
宜蘭,2017-08-20,19,μg/m3
陽明,2017-08-20,17,μg/m3
花蓮,2017-08-20,11,μg/m3
臺東,2017-08-20,6,μg/m3
恆春,2017-08-20,6,μg/m3
屏東,2017-08-20,13,μg/m3
前金,2017-08-20,9,μg/m3
美濃,2017-08-20,,μg/m3
臺南,2017-08-20,10,μg/m3
新營,2017-08-20,11,μg/m3
嘉義,2017-08-20,13,μg/m3
朴子,2017-08-20,11,μg/m3
斗六,2017-08-20,15,μg/m3
南投,2017-08-20,13,μg/m3
彰化,2017-08-20,11,μg/m3
忠明,2017-08-20,13,μg/m3
豐原,2017-08-20,16,μg/m3
三義,2017-08-20,,μg/m3
苗栗,2017-08-20,14,μg/m3
新竹,2017-08-20,13,μg/m3
竹東,2017-08-20,17,μg/m3
平鎮,2017-08-20,17,μg/m3
桃園,2017-08-20,19,μg/m3
萬華,2017-08-20,19,μg/m3
士林,2017-08-20,19,μg/m3
板橋,2017-08-20,21,μg/m3
汐止,2017-08-20,15,μg/m3
基隆,2017-08-20,14,μg/m3
馬公,2017-08-17,6,μg/m3
金門,2017-08-17,14,μg/m3
馬祖,2017-08-17,16,μg/m3
宜蘭,2017-08-17,15,μg/m3
陽明,2017-08-17,21,μg/m3
花蓮,2017-08-17,12,μg/m3
臺東,2017-08-17,10,μg/m3
恆春,2017-08-17,7,μg/m3
屏東,2017-08-17,19,μg/m3
前金,2017-08-17,13,μg/m3
美濃,2017-08-17,17,μg/m3
臺南,2017-08-17,8,μg/m3
新營,2017-08-17,9,μg/m3
嘉義,2017-08-17,10,μg/m3
朴子,2017-08-17,9,μg/m3
斗六,2017-08-17,14,μg/m3
南投,2017-08-17,14,μg/m3
彰化,2017-08-17,11,μg/m3
忠明,2017-08-17,13,μg/m3
豐原,2017-08-17,15,μg/m3
三義,2017-08-17,,μg/m3
苗栗,2017-08-17,12,μg/m3
新竹,2017-08-17,12,μg/m3
竹東,2017-08-17,,μg/m3
平鎮,2017-08-17,14,μg/m3
桃園,2017-08-17,16,μg/m3
萬華,2017-08-17,22,μg/m3
士林,2017-08-17,17,μg/m3
板橋,2017-08-17,20,μg/m3
汐止,2017-08-17,19,μg/m3
基隆,2017-08-17,16,μg/m3
馬公,2017-08-14,,μg/m3
金門,2017-08-14,15,μg/m3
馬祖,2017-08-14,14,μg/m3
宜蘭,2017-08-14,14,μg/m3
陽明,2017-08-14,12,μg/m3
花蓮,2017-08-14,12,μg/m3
臺東,2017-08-14,,μg/m3
恆春,2017-08-14,,μg/m3
屏東,2017-08-14,,μg/m3
前金,2017-08-14,,μg/m3
美濃,2017-08-14,,μg/m3
臺南,2017-08-14,,μg/m3
新營,2017-08-14,,μg/m3
嘉義,2017-08-14,,μg/m3
朴子,2017-08-14,,μg/m3
斗六,2017-08-14,7,μg/m3
南投,2017-08-14,8,μg/m3
彰化,2017-08-14,9,μg/m3
忠明,2017-08-14,9,μg/m3
豐原,2017-08-14,9,μg/m3
三義,2017-08-14,9,μg/m3
苗栗,2017-08-14,,μg/m3
新竹,2017-08-14,9,μg/m3
竹東,2017-08-14,11,μg/m3
平鎮,2017-08-14,10,μg/m3
桃園,2017-08-14,11,μg/m3
萬華,2017-08-14,15,μg/m3
士林,2017-08-14,13,μg/m3
板橋,2017-08-14,13,μg/m3
汐止,2017-08-14,20,μg/m3
基隆,2017-08-14,16,μg/m3
馬公,2017-08-11,11,μg/m3
金門,2017-08-11,16,μg/m3
馬祖,2017-08-11,19,μg/m3
宜蘭,2017-08-11,15,μg/m3
陽明,2017-08-11,11,μg/m3
花蓮,2017-08-11,15,μg/m3
臺東,2017-08-11,13,μg/m3
恆春,2017-08-11,10,μg/m3
屏東,2017-08-11,12,μg/m3
前金,2017-08-11,11,μg/m3
美濃,2017-08-11,11,μg/m3
臺南,2017-08-11,11,μg/m3
新營,2017-08-11,12,μg/m3
嘉義,2017-08-11,11,μg/m3
朴子,2017-08-11,12,μg/m3
斗六,2017-08-11,12,μg/m3
南投,2017-08-11,12,μg/m3
彰化,2017-08-11,14,μg/m3
忠明,2017-08-11,13,μg/m3
豐原,2017-08-11,12,μg/m3
三義,2017-08-11,11,μg/m3
苗栗,2017-08-11,12,μg/m3
新竹,2017-08-11,13,μg/m3
竹東,2017-08-11,13,μg/m3
平鎮,2017-08-11,13,μg/m3
桃園,2017-08-11,13,μg/m3
萬華,2017-08-11,14,μg/m3
士林,2017-08-11,14,μg/m3
板橋,2017-08-11,14,μg/m3
汐止,2017-08-11,15,μg/m3
基隆,2017-08-11,16,μg/m3
馬公,2017-08-08,9,μg/m3
金門,2017-08-08,11,μg/m3
馬祖,2017-08-08,14,μg/m3
宜蘭,2017-08-08,23,μg/m3
陽明,2017-08-08,,μg/m3
花蓮,2017-08-08,14,μg/m3
臺東,2017-08-08,13,μg/m3
恆春,2017-08-08,8,μg/m3
屏東,2017-08-08,11,μg/m3
前金,2017-08-08,9,μg/m3
美濃,2017-08-08,11,μg/m3
臺南,2017-08-08,10,μg/m3
新營,2017-08-08,10,μg/m3
嘉義,2017-08-08,,μg/m3
朴子,2017-08-08,10,μg/m3
斗六,2017-08-08,10,μg/m3
南投,2017-08-08,11,μg/m3
彰化,2017-08-08,12,μg/m3
忠明,2017-08-08,11,μg/m3
豐原,2017-08-08,13,μg/m3
三義,2017-08-08,10,μg/m3
苗栗,2017-08-08,10,μg/m3
新竹,2017-08-08,11,μg/m3
竹東,2017-08-08,12,μg/m3
平鎮,2017-08-08,11,μg/m3
桃園,2017-08-08,12,μg/m3
萬華,2017-08-08,14,μg/m3
士林,2017-08-08,12,μg/m3
板橋,2017-08-08,13,μg/m3
汐止,2017-08-08,16,μg/m3
基隆,2017-08-08,16,μg/m3
馬公,2017-08-05,12,μg/m3
金門,2017-08-05,16,μg/m3
馬祖,2017-08-05,18,μg/m3
宜蘭,2017-08-05,20,μg/m3
陽明,2017-08-05,15,μg/m3
花蓮,2017-08-05,19,μg/m3
臺東,2017-08-05,15,μg/m3
恆春,2017-08-05,11,μg/m3
屏東,2017-08-05,15,μg/m3
前金,2017-08-05,14,μg/m3
美濃,2017-08-05,14,μg/m3
臺南,2017-08-05,14,μg/m3
新營,2017-08-05,12,μg/m3
嘉義,2017-08-05,12,μg/m3
朴子,2017-08-05,14,μg/m3
斗六,2017-08-05,14,μg/m3
南投,2017-08-05,14,μg/m3
彰化,2017-08-05,16,μg/m3
忠明,2017-08-05,14,μg/m3
豐原,2017-08-05,16,μg/m3
三義,2017-08-05,14,μg/m3
苗栗,2017-08-05,15,μg/m3
新竹,2017-08-05,15,μg/m3
竹東,2017-08-05,16,μg/m3
平鎮,2017-08-05,16,μg/m3
桃園,2017-08-05,16,μg/m3
萬華,2017-08-05,19,μg/m3
士林,2017-08-05,17,μg/m3
板橋,2017-08-05,18,μg/m3
汐止,2017-08-05,19,μg/m3
基隆,2017-08-05,19,μg/m3
馬公,2017-08-02,7,μg/m3
金門,2017-08-02,13,μg/m3
馬祖,2017-08-02,,μg/m3
宜蘭,2017-08-02,16,μg/m3
陽明,2017-08-02,14,μg/m3
花蓮,2017-08-02,14,μg/m3
臺東,2017-08-02,11,μg/m3
恆春,2017-08-02,11,μg/m3
屏東,2017-08-02,12,μg/m3
前金,2017-08-02,17,μg/m3
美濃,2017-08-02,7,μg/m3
臺南,2017-08-02,10,μg/m3
新營,2017-08-02,10,μg/m3
嘉義,2017-08-02,9,μg/m3
朴子,2017-08-02,9,μg/m3
斗六,2017-08-02,11,μg/m3
南投,2017-08-02,10,μg/m3
彰化,2017-08-02,12,μg/m3
忠明,2017-08-02,12,μg/m3
豐原,2017-08-02,14,μg/m3
三義,2017-08-02,13,μg/m3
苗栗,2017-08-02,12,μg/m3
新竹,2017-08-02,16,μg/m3
竹東,2017-08-02,13,μg/m3
平鎮,2017-08-02,18,μg/m3
桃園,2017-08-02,22,μg/m3
萬華,2017-08-02,19,μg/m3
士林,2017-08-02,19,μg/m3
板橋,2017-08-02,20,μg/m3
汐止,2017-08-02,21,μg/m3
基隆,2017-08-02,18,μg/m3
馬公,2017-07-30,,μg/m3
金門,2017-07-30,12,μg/m3
馬祖,2017-07-30,,μg/m3
宜蘭,2017-07-30,5,μg/m3
陽明,2017-07-30,2,μg/m3
花蓮,2017-07-30,4,μg/m3
臺東,2017-07-30,8,μg/m3
恆春,2017-07-30,10,μg/m3
屏東,2017-07-30,4,μg/m3
前金,2017-07-30,6,μg/m3
美濃,2017-07-30,4,μg/m3
臺南,2017-07-30,6,μg/m3
新營,2017-07-30,6,μg/m3
嘉義,2017-07-30,5,μg/m3
朴子,2017-07-30,6,μg/m3
斗六,2017-07-30,6,μg/m3
南投,2017-07-30,7,μg/m3
彰化,2017-07-30,8,μg/m3
忠明,2017-07-30,8,μg/m3
豐原,2017-07-30,6,μg/m3
三義,2017-07-30,6,μg/m3
苗栗,2017-07-30,7,μg/m3
新竹,2017-07-30,,μg/m3
竹東,2017-07-30,6,μg/m3
平鎮,2017-07-30,,μg/m3
桃園,2017-07-30,5,μg/m3
萬華,2017-07-30,5,μg/m3
士林,2017-07-30,5,μg/m3
板橋,2017-07-30,5,μg/m3
