審查機關,產品類別,廣告品名,申請廠商,廣告核准字號,核准起始日期,核准結束日期,廣告類別
"臺中市","藥品","欣行健錠100毫克","永信藥品工業股份有限公司","中市衛藥廣字10509124","1050913","1060913","學術性醫療刊物"
"臺南市","化粧品","緊急修護精華霜,膠原蛋白彈力霜,瞬間重建水膜,香檳玫瑰複方精油洗髮精,超水感冰礦輕盈洗髮精,超水感冰凍spa頭皮調理系統,啤酒精華萃取泥,超水感洗髮精,玫瑰精油洗髮精,含氧米霜","會理化工有限公司","南市衛粧廣字1050810026","1050921","1060921","平面媒體(海報、傳單、報紙、刊物、雜誌、廣告牌、車體、車廂等)"
"臺南市","化粧品","髮膜元素,橙柚複方精油洗髮精,水蜜桃亮澤洗髮精,頭皮調理系統,礦泉晶亮髮蜜,SPA植物精油,絲油彈力霜,米分子密乳,多功能洗髮精,精油洗髮精","會理化工有限公司","南市衛粧廣字1050810027","1050914","1060914","平面媒體(海報、傳單、報紙、刊物、雜誌、廣告牌、車體、車廂等)"
"臺南市","化粧品","葉綠素瞬間頭皮SPA調理霜,柑橘冰涼輕鬆洗髮精,天然一分鐘護髮素,啤酒精華洗髮精,天然絲油彈力霜,水質感多功能洗髮精,水質感髮激晶,光漾迷人激晶,水質感米霜,水質感玫瑰精油洗髮精","會理化工有限公司","南市衛粧廣字1050810028","1050914","1060914","平面媒體(海報、傳單、報紙、刊物、雜誌、廣告牌、車體、車廂等)"
"臺中市","化粧品","1.Bio-Lydia晶顏調理防曬隔離乳SPE30***2.Bio-Lydia晶顏水感清透身體防曬露SPE30***3.飽水修護乳4.絕美雙效粉底組(象牙白/自然光)5.晶顏再生活化油6.荳蔻潤膚乳7.胜肽修護潤唇膏8.晶顏14趨黑無暇精華9.香氛每體水凝乳(外出陽光/午後舒壓/上班品味)","麗富康國際股份有限公司","中市衛粧廣字10511779","1051124","1061124","網路;;平面媒體(海報、傳單、報紙、刊物、雜誌、廣告牌、車體、車廂等)"
"臺中市","化粧品","超肌能緊緻童顏精華","凱馨國際有限公司","中市衛粧廣字10511796","1051117","1061117","電台(秒數:600秒秒)"
"臺中市","化粧品","激光煥顏淡斑精華液","凱馨國際有限公司","中市衛粧廣字10511795","1051117","1061117","電台(秒數:600秒)"
"臺中市","醫療器材","＂舒美立得＂熱敷貼片(未滅菌)","昱程科技股份有限公司","中市衛器廣字10511245","1051130","1061130","網路;;平面媒體(海報、傳單、報紙、刊物、雜誌、廣告牌、車體、車廂等)"
"臺中市","醫療器材","1.＂元氣媽咪＂一字型托腹帶(未滅菌)2.＂元氣媽咪＂調整型托腹帶(未滅菌)3.＂元氣媽咪＂X型托腹帶(未滅菌)4.＂元氣媽咪＂包覆型托腹帶(未滅菌)","美健有限公司","中市衛器廣字10511257","1051125","1061125","網路;;平面媒體(海報、傳單、報紙、刊物、雜誌、廣告牌、車體、車廂等)"
"臺中市","藥品","〝明通〞治傷風顆粒","明通化學製藥股份公司第二廠","中市衛藥廣字10511162","1051120","1061120","電影、電視(秒數:5);;電台(秒數:5秒);;網路"
