MeasureId,MeasureLocation,MeasureDate,County,Township,MeasureAddress,RadiatorTypeName,PowerDensityMax,ItemUnit,Legal
G00648,員山鄉員山路一段變電箱量測,2014-06-12,宜蘭縣,員山鄉,員山路一段333號前,落地型變壓器,1.802,mG,True
A00898,內湖區安康路與安康路22巷口-落地型變壓器檢測,2014-05-24,臺北市,內湖區,安康路22巷口,落地型變壓器,4,mG,True
A00897,建國南路二段79巷口地下電纜量測,2014-05-14,臺北市,大安區,建國南路二段79巷口,輸配線路,4.89,mG,True
D00826,臺南市北區東豐路305巷11號_開元變電所,2015-05-06,臺南市,北區,東豐路305巷11號,變電所,9.808,mG,True
D00827,臺南市北區中華北路500號_安南變電所,2015-05-07,臺南市,北區,中華北路500號,變電所,27.83,mG,True
A00969,北投區同德街-落地型變壓器檢測,2015-04-23,臺北市,北投區,同德街,落地型變壓器,8.1,mG,True
E00915,LE104-04-002,2015-04-20,高雄市,小港區,高雄市小港區平和南路196號附近,落地型變壓器,8.291,mG,True
H00906,桃園區新和街10號旁-落地型變壓器量測,2015-02-11,桃園市,桃園區,新和街10號,落地型變壓器,23.2,mG,True
H00904,桃園區愛二街163號旁-落地型變壓器檢測,2015-02-11,桃園市,桃園區,愛二街163號,落地型變壓器,11.2,mG,True
H00903,桃園區北埔路173號旁-落地型變壓器量測,2015-02-11,桃園市,桃園區,北埔路173號,落地型變壓器,21.9,mG,True
H00900,桃園區信義街4號旁-落地型變壓器量測,2015-01-28,桃園市,桃園區,信義街4號,落地型變壓器,27.8,mG,True
E00914,LE104-04-001,2015-04-17,高雄市,三民區,高雄市三民區大昌路258號附近,落地型變壓器,6.795,mG,True
A00962,信義區光復南路451-453號之2前人行道-落地型變壓器檢測,2015-03-30,臺北市,信義區,光復南路451-號之2,落地型變壓器,46.6,mG,True
E00916,LE104-04-003,2015-04-23,高雄市,新興區,高雄市新興區忠孝一路95號附近,落地型變壓器,32.465,mG,True
G00746,宜蘭市中興路332號基地台量測,2015-11-26,宜蘭縣,宜蘭市,中興路332號,手機基地臺,0.00521,mW/cm<sup>2</sup>,True
F01097,八里國小,2015-09-17,新北市,八里區,中山路2段338號,學校極低頻設施,6.085,mG,True
F01106,文德國小,2015-09-22,新北市,板橋區,英士路179號,學校極低頻設施,20.21,mG,True
A00971,信義區永吉路120巷與永吉路30巷83弄交叉口人行道-落地型變壓器檢測,2015-04-24,臺北市,信義區,永吉路30巷83弄,落地型變壓器,4.5,mG,True
A00970,北投區石牌路與立農路2段交叉口人行道-落地型變壓器檢測,2015-04-24,臺北市,北投區,立農路2段,落地型變壓器,3.7,mG,True
A00967,松山區松信路雅祥公園人行道-落地型變壓器檢測,2015-04-15,臺北市,松山區,松山區松信路雅祥公園,落地型變壓器,9.6,mG,True
A00966,松山區松信路與永吉路交叉口人行道-落地型變壓器檢測,2015-04-15,臺北市,松山區,松信路與永吉路交叉口人行道,落地型變壓器,14.8,mG,True
H00905,桃園區愛二街170號旁-落地型變壓器檢測,2015-02-11,桃園市,桃園區,愛二街170號,落地型變壓器,2.4,mG,True
H00902,桃園區桃三街49號旁-落地型變壓器量測,2015-01-28,桃園市,桃園區,桃三街49號,落地型變壓器,16.4,mG,True
H00901,桃園區東央街34號旁-落地型變壓器量測,2015-01-28,桃園市,桃園區,中央街34號旁,落地型變壓器,26.5,mG,True
A00965,松山區光復北路32號前人行道落地型變壓器,2015-04-14,臺北市,松山區,光復北路32號,落地型變壓器,5.4,mG,True
E00911,LE104-03-001,2015-03-04,高雄市,鼓山區,高雄市鼓山區逢甲路32號附近,落地型變壓器,61.961,mG,True
A00964,內湖區康寧路3段75巷207弄-落地型變壓器檢測,2015-04-07,臺北市,內湖區,康寧路3段75巷207弄,落地型變壓器,5,mG,True
B00885,哈魚碼頭(900MHz),2015-05-31,臺中市,南屯區,環中路四段2號附近,手機基地臺,6.73E-10,mW/cm<sup>2</sup>,True
A00963,信義區基隆路與松壽路交叉口人行道-落地型變,2015-03-30,臺北市,信義區,基隆路與松壽路交叉口,落地型變壓器,2,mG,True
A00961,信義區光復南路420號之1前人行道-落地型變壓器檢測,2015-03-30,臺北市,松山區,信義區光復南路420號之1,落地型變壓器,6.3,mG,True
A00960,信義區仁愛路四段與光復南路交叉口,2015-03-30,臺北市,信義區,信義區仁愛路四段與光復南路交叉口,落地型變壓器,36.8,mG,True
B00871,西屯區永福路26號附近,2015-03-30,臺中市,西屯區,永福路26號附近,落地型變壓器,2.216,mG,True
B00870,太平區太平路726號附近,2015-03-30,臺中市,太平區,太平路726號附近,落地型變壓器,2.576,mG,True
E00913,LE104-03-002,2015-03-20,高雄市,前鎮區,高雄市前鎮區樹人路261號附近,落地型變壓器,33.189,mG,True
A00968,北投區行義路5巷對面人行道-落地型變壓器檢測,2015-04-23,臺北市,北投區,行義路5巷,落地型變壓器,7.6,mG,True
H00899,桃園區東國街12巷(東門國小前)-落地型變壓器量測,2015-01-28,桃園市,桃園區,東國街12巷,落地型變壓器,8.8,mG,True
B00886,哈魚碼頭(1800MHz),2015-05-31,臺中市,南屯區,環中路四段2號附近,手機基地臺,7.1E-11,mW/cm<sup>2</sup>,True
B00872,新社區興社街二段28-1號附近,2015-03-30,臺中市,新社區,興社街二段28-1號附近,落地型變壓器,2.193,mG,True
B00868,北屯區崇德路二段520號附近,2015-03-24,臺中市,北屯區,崇德路二段520號附近,落地型變壓器,2.066,mG,True
A00955,台北市政府TPF室外AP量測,2014-11-06,臺北市,信義區,仁愛路4段(台北市議會前),無線區域網路(Wi-Fi),3.13E-10,mW/cm<sup>2</sup>,True
A00954,台北市政府TPF室內AP量測,2014-11-06,臺北市,信義區,市府路1號,無線區域網路(Wi-Fi),3.66E-10,mW/cm<sup>2</sup>,True
E00905,LE104-02-001,2015-02-05,高雄市,苓雅區,高雄市苓雅區五權街78號附近,落地型變壓器,8.752,mG,True
E00899,LE104-01-002,2015-01-21,高雄市,左營區,高雄市左營區文府路399號附近,落地型變壓器,18.467,mG,True
E00898,LE104-01-001,2015-01-12,高雄市,小港區,高雄市小港區中山四路33號附近,落地型變壓器,18.887,mG,True
F01109,實踐國小,2015-09-22,新北市,板橋區,實踐路93巷51號,學校極低頻設施,62.56,mG,True
A00950,士林捷運站捷運軌道,2014-11-06,臺北市,士林區,區福德路1號,鐵路/捷運系統,0.621,mG,True
F01108,莒光國小,2015-09-21,新北市,板橋區,莒光路163號,學校極低頻設施,11.66,mG,True
A00951,士林區文林路落地型+桿式變壓器,2014-11-06,臺北市,士林區,士林區文林路162號,站臺式變壓器,42.68,mG,True
A00947,高壓電塔-松山週美線,2014-10-30,臺北市,內湖區,彩虹河濱公園,高壓電塔,3.188,mG,True
U10241,和工二路,2015-01-08,花蓮縣,花蓮市,和工二路,落地型變壓器,0.9,mG,True
A00946,高壓電塔-松山民權線,2014-10-30,臺北市,內湖區,彩虹河濱公園,高壓電塔,3.94,mG,True
F01078,永和區福和路基地台,2014-12-30,新北市,永和區,福和路99號,手機基地臺,0.001559,mW/cm<sup>2</sup>,True
C00653,東峰街13號,2014-12-30,基隆市,信義區,東峰街13號,射頻環境值,0.0003,mW/cm<sup>2</sup>,True
C00652,基金一路208巷32號前,2014-11-17,基隆市,中山區,基金一路208巷32號前,落地型變壓器,3.32,mG,True
C00649,基金一路208巷200號旁,2014-11-17,基隆市,中山區,基金一路208巷200號旁,落地型變壓器,3.54,mG,True
C00647,深溪路160號,2014-11-13,基隆市,信義區,深溪路160號,落地型變壓器,3.25,mG,True
C00645,深溪路1號,2014-11-13,基隆市,信義區,深溪路1號,落地型變壓器,2.72,mG,True
A00948,士林區中山北路五段落地型變壓器,2014-11-06,臺北市,士林區,中山北路五段(捷運劍潭站-士林站),落地型變壓器,1.89,mG,True
U10239,和仁一次配電所,2015-01-08,花蓮縣,秀林鄉,和平村1鄰和平30之5號,變電所,5.4,mG,True
F01081,電動機車電池交換站,2014-10-09,新北市,板橋區,漢生東路與縣民大道二段路口,極低頻環境值,2.715,mG,True
F01080,秀朗變電所,2014-12-30,新北市,永和區,永元里1鄰秀朗路二段40號,變電所,8.541,mG,True
F01079,興仁變電所,2014-12-29,新北市,淡水區,興仁路160號,變電所,5.138,mG,True
C00651,基金一路208巷86號前,2014-12-30,基隆市,中山區,基金一路208巷86號前,落地型變壓器,3.21,mG,True
C00648,深溪路98號,2014-11-13,基隆市,信義區,深溪路98號,落地型變壓器,2.88,mG,True
C00646,深溪路96號,2014-11-13,基隆市,信義區,深溪路96號,落地型變壓器,3.51,mG,True
C00644,教忠街85 巷口,2014-12-26,基隆市,信義區,教忠街85巷口,落地型變壓器,2.65,mG,True
F01076,永和變電所,2014-12-24,新北市,永和區,豫溪街193號,變電所,10.91,mG,True
F01075,新莊區中正路基地台,2014-12-24,新北市,新莊區,中正路1號,手機基地臺,0.000411,mW/cm<sup>2</sup>,True
F01074,新莊區化成路基地台,2014-12-24,新北市,新莊區,化成路354號,手機基地臺,0.001799,mW/cm<sup>2</sup>,True
F01066,汐止區大同路1段基地台,2014-11-27,新北市,汐止區,大同路1段423號,手機基地臺,0.005345,mW/cm<sup>2</sup>,True
F01065,蘆洲區中華街基地台,2014-11-27,新北市,蘆洲區,中華街7號,手機基地臺,0.000214,mW/cm<sup>2</sup>,True
F01064,林口區菁埔基地台,2014-11-27,新北市,林口區,菁埔1-1號,手機基地臺,0.001148,mW/cm<sup>2</sup>,True
F01062,土城變電所,2014-11-19,新北市,土城區,永寧路2號,變電所,10.85,mG,True
F01068,中和變電所,2014-12-01,新北市,中和區,南工路1號,變電所,15.88,mG,True
F01067,中和區板南路基地台,2014-12-01,新北市,中和區,板南路100號,手機基地臺,0.000637,mW/cm<sup>2</sup>,True
H00895,桃園市德豐街35號旁-落地型變壓器量測,2014-11-25,桃園市,桃園區,德豐街35號,落地型變壓器,3.8,mG,True
H00894,桃園市德豐街21號旁-落地型變壓器量測,2014-11-25,桃園市,桃園區,德豐街21號,落地型變壓器,2.7,mG,True
H00893,桃園市桃鶯路92巷2號旁-落地型變壓器量測,2014-11-25,桃園市,桃園區,桃鶯路92巷2號,落地型變壓器,40.8,mG,True
F01073,江翠變電所,2014-11-17,新北市,板橋區,雙十路3段25號,變電所,13.31,mG,True
F01072,二重變電所,2014-12-02,新北市,三重區,中興北街14之1號,變電所,13.58,mG,True
F01071,三重區新北大道基地台,2014-12-02,新北市,三重區,新北大道2段137號,手機基地臺,0.000242,mW/cm<sup>2</sup>,True
F01069,新店區安豐路基地台,2014-11-28,新北市,新店區,安豐路54-1號,手機基地臺,0.000641,mW/cm<sup>2</sup>,True
F01070,三重區光華路基地台,2014-12-02,新北市,三重區,光華路20號,手機基地臺,0.00045,mW/cm<sup>2</sup>,True
F01063,頂埔變電所,2014-11-19,新北市,土城區,沛陂里8鄰中興路1號,變電所,6.891,mG,True
F01061,中和區中和路基地台,2014-12-01,新北市,中和區,中和路102號,手機基地臺,0.000988,mW/cm<sup>2</sup>,True
D00824,臺南市永康區王行村興工路1號,2014-10-15,臺南市,永康區,王行村興工路1號,變電所,5.482,mG,True
K00677,后庄國小,2014-10-30,苗栗縣,頭份鎮,文化里文化街20號,學校極低頻設施,17.65,mG,True
K00676,頭份國小,2014-10-30,苗栗縣,頭份鎮,中正路219號,學校極低頻設施,48.72,mG,True
